sample	batch	variable	value
32161358_EXO_S20	180919-190527	mainPeakMiRNAlength	78.47092820791661
32160028_EXO_S6	180919-190527	mainPeakMiRNAlength	81.07736192916194
32160766_EXO_S16	180919-190527	mainPeakMiRNAlength	59.79254729142309
32170346_EXO_S25	180919-190527	mainPeakMiRNAlength	80.317923867782
32170068_EXO_S23	180919-190527	mainPeakMiRNAlength	79.40426737160121
32160009_EXO_S30	181003-190524	mainPeakMiRNAlength	77.78891928465036
32152260_EXO_S26	181003-190524	mainPeakMiRNAlength	82.51144464962132
32152408_EXO_S29	181003-190524	mainPeakMiRNAlength	46.57971785999467
32160078_EXO_S32	181003-190524	mainPeakMiRNAlength	61.80483592400691
32150179_EXO_S2	181003-190524	mainPeakMiRNAlength	81.30691667124582
32160080_EXO_S33	181003-190524	mainPeakMiRNAlength	82.17166673068797
32150313_EXO_S5	181003-190524	mainPeakMiRNAlength	74.94397075983676
32151181_EXO_S16	181003-190524	mainPeakMiRNAlength	80.01676287199197
32151178_EXO_S15	181003-190524	mainPeakMiRNAlength	83.33329148866993
32152087_EXO_S24	181003-190524	mainPeakMiRNAlength	71.50784180020457
32151988_EXO_S22	181003-190524	mainPeakMiRNAlength	82.65329486972246
32160019_EXO_S31	181003-190524	mainPeakMiRNAlength	81.3243294889953
32152030_EXO_S23	181003-190524	mainPeakMiRNAlength	73.25672448220509
32151021_EXO_S13	181003-190524	mainPeakMiRNAlength	80.23251227940307
32150156_EXO_S1	181003-190524	mainPeakMiRNAlength	79.43140390839136
32151970_EXO_S21	181003-190524	mainPeakMiRNAlength	77.85113922667777
32151029_EXO_S14	181003-190524	mainPeakMiRNAlength	82.81869180326092
32150829_EXO_S9	181003-190524	mainPeakMiRNAlength	80.93590618778883
32150792_EXO_S8	181003-190524	mainPeakMiRNAlength	82.58058454087568
32151754_EXO_S20	181003-190524	mainPeakMiRNAlength	81.09658690462493
32150309_EXO_S4	181003-190524	mainPeakMiRNAlength	81.17516249643658
32160185_EXO_S34	181003-190524	mainPeakMiRNAlength	78.29023587451057
32151018_EXO_S12	181003-190524	mainPeakMiRNAlength	81.24659763994703
32151480_EXO_S17	181003-190524	mainPeakMiRNAlength	82.37549449118593
32150697_EXO_S7	181003-190524	mainPeakMiRNAlength	82.49757488832942
32152351_EXO_S28	181003-190524	mainPeakMiRNAlength	78.48550014685736
32150318_EXO_S6	181003-190524	mainPeakMiRNAlength	80.52211037606465
32152200_EXO_S25	181003-190524	mainPeakMiRNAlength	81.8770904846473
32150274_EXO_S3	181003-190524	mainPeakMiRNAlength	73.06013556190315
32151489_EXO_S18	181003-190524	mainPeakMiRNAlength	80.54275922745283
32150882_EXO_S11	181003-190524	mainPeakMiRNAlength	78.56704555869875
32151625_EXO_S19	181003-190524	mainPeakMiRNAlength	82.64089125749585
32150835_EXO_S10	181003-190524	mainPeakMiRNAlength	78.87503315455184
32152348_EXO_S27	181003-190524	mainPeakMiRNAlength	83.00458678762175
32160965_EXO_S9	181004-190521	mainPeakMiRNAlength	80.70326419216725
32160622_EXO_S5	181004-190521	mainPeakMiRNAlength	82.61803161000303
32161245_EXO_S17	181004-190521	mainPeakMiRNAlength	81.36532325194229
32170434_EXO_S28	181004-190521	mainPeakMiRNAlength	82.32186365501103
32160340_EXO_S2	181004-190521	mainPeakMiRNAlength	82.096999594865
