sample	reads
32161013_EXO_S11	1.974041E7
32170385_EXO_S26	2.4035293E7
32150161_EXO_S32	1.6966665E7
32160612_EXO_S4	2.5356882E7
32161253_EXO_S18	2.1667988E7
32170268_EXO_S22	2.1838323E7
32170269_EXO_S23	1.6823782E7
32150116_EXO_S31	1.6904E7
32161004_EXO_S10	1.8926393E7
32161392_EXO_S19	1.8856869E7
32160765_EXO_S8	1.9394749E7
32170450_EXO_S29	1.9944552E7
32160373_EXO_S3	1.9761908E7
32160284_EXO_S1	1.6381489E7
32170409_EXO_S27	1.581814E7
32170083_EXO_S21	1.86823E7
32161065_EXO_S14	2.2216764E7
32150978_EXO_S34	2.0269745E7
32161046_EXO_S13	2.2804902E7
32160670_EXO_S7	1.5753907E7
32170652_EXO_S30	2.0387694E7
32150704_EXO_S33	1.8519556E7
32170378_EXO_S26	2.0172777E7
32161454_EXO_S20	1.9975141E7
32160526_EXO_S15	1.6001456E7
32152086_EXO_S7	2.0587918E7
32151130_EXO_S2	2.2191096E7
32151185_EXO_S4	1.9662628E7
32170440_EXO_S27	2.3754172E7
32152175_EXO_S9	2.4296364E7
32152337_EXO_S10	1.8637286E7
32151033_EXO_S1	2.621592E7
32170273_EXO_S23	1.989743E7
181023-190319_Brain_S29	3.4488813E7
32152088_EXO_S8	2.8875832E7
32151825_EXO_S6	2.0598357E7
32151151_EXO_S3	2.5360106E7
32170329_EXO_S24	2.7587408E7
32170337_EXO_S25	2.1005959E7
32160079_EXO_S13	1.8124067E7
32152347_EXO_S11	1.9849996E7
32160791_EXO_S16	2.5411197E7
32161000_EXO_S17	1.9095859E7
32160288_EXO_S14	2.3137741E7
32170032_EXO_S21	2.1388422E7
32170447_EXO_S28	2.3937577E7
32160018_EXO_S12	1.5597922E7
32170073_EXO_S22	2.2085976E7
32161249_EXO_S19	1.916971E7
32151764_EXO_S5	2.2076174E7
32161037_EXO_S18	2.0719622E7

