sample	batch	readsRaw	reads	readsUnique	microRNAPerc	readsAdapterFound	readsAdapterFoundPerc	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k	adapterDimerPerc	ultraShortReadsPerc	shortReadsPerc	refSpecies	unmapped	bacteria	virus	stdDevMiRNAlength	mainPeakMiRNAlength	absskewnessMiRNAlength	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsPerc
32151808_EXO_S16	180322-190603	9665534.0	7958748.0	719064.0	15.219391291193087	9421878.0	97.4791253126832	13.195567362199526	55.085660909732304	86.27799069489257	5.0	9.0	45.0	0.2845887019426993	1.2486377907369324	9.773686566436684	11.699728609010503	6.510571763297444	86.620747383885	6.577705438091519	0.29097541472603483	1.121117300999408	82.59847051644223	0.2007410214554381	35.5	24.4125	35.5	35.5	35.5	82.34152401719346
32152166_EXO_S8	180322-190603	5749775.0	4887452.0	497420.0	34.48207777795009	5544735.0	96.43394741533365	14.216286250422158	58.92645661337195	89.91339706279115	4.0	9.0	35.0	0.18888680559017984	0.4542662042352904	3.610321091463666	4.597247002341598	39.611212550015836	44.94916778722328	14.863593545266529	0.5760261174943511	1.0405066926413782	83.59361136285268	0.23991662220743187	35.5	18.55	35.0	35.5	35.5	85.00249140183746
180322-190603_Brain_S36	180322-190603	8417529.0	7292932.0	309572.0	71.60534336533222	8131518.0	96.60219762830636	14.494795681716134	47.04214428763523	77.21423860640859	6.0	19.0	73.0	0.13310576160717433	0.37664738568376366	8.188592234166029	1.0425471257427825	69.80092506004445	29.388714991446513	0.7034619272468194	0.10689802126223032	1.11485045301725	84.84417762782914	0.06566656483154781	35.5	21675	34.9	35.5	35.5	86.63982030831139
32150759_EXO_S26	180322-190603	7700588.0	5806496.0	521194.0	5.337349754481891	7452241.0	96.77496056145323	16.943075032080923	60.67001389076652	89.73924086455284	4.0	9.0	33.0	0.5851070555751906	0.3199064666254054	14.838166339089458	13.794886990246322	2.518713523612175	89.8821079012196	7.253255664001148	0.345922911167079	1.2427502103127317	81.09751178602198	0.13787049670424809	35.5	24225	35.5	35.5	35.5	75.40328089231627
32151206_EXO_S12	180322-190603	1.2243401E7	9974828.0	858432.0	4.4181313201590715	1.1822515E7	96.56234407416697	14.163160625729716	59.455949221494365	89.64986255773752	4.0	9.0	34.0	0.5305282536137262	0.9815262051358925	7.448442197548718	11.082431806354657	0.2930075586265748	96.83693794018303	2.85466576466281	0.015388736527587245	1.124905425363413	85.34204246952596	0.16820107114813596	35.5	24775	35.5	35.5	35.5	81.47105530562953
32151872_EXO_S27	180322-190603	1.4503127E7	1.1008627E7	1155157.0	3.4334890263790423	1.3961052E7	96.26235776601833	14.34965914576868	57.35484554155577	87.15242941096966	5.0	10.0	42.0	0.8052784391126956	0.4063765471949441	12.887778783344942	14.629776221970843	1.474507220564381	92.66171885013453	5.706197512187487	0.1575764171135965	1.4422365700546314	82.70190421479268	0.010660951765889349	35.5	18375	35.0	35.5	35.5	75.90519616907443
32152211_EXO_S35	180322-190603	2.7554729E7	2.1706955E7	1224979.0	0.10107359599722747	2.6661248E7	96.75743136504808	19.94262972917098	53.19133760595412	86.48041141203228	5.0	12.0	33.0	7.752739301219767	0.27939544316760623	5.393975862465433	9.197210973085587	0.21201039021825033	95.09973646695265	4.64195001095271	0.04630313187639629	2.52371099690093	74.55805731298847	0.23456354547258787	35.5	25875	35.5	35.5	35.5	78.7776029297911
32151109_EXO_S17	180322-190603	8073652.0	6250117.0	645205.0	3.183684401428028	7829439.0	96.97518545510755	15.855237913848772	57.71767011429915	86.91086137477852	5.0	9.0	44.0	1.0913816937929168	2.9161103504407158	12.6350325061617	14.178720522671085	6.577636866637856	78.76574150531901	13.963098610794002	0.6935230172491172	1.3827762400532044	81.12535003795743	0.10895352661347303	35.5	19.55	35.1	35.5	35.5	77.41375278498504
32152477_EXO_S29	180322-190603	1.3450493E7	1.0941618E7	1017189.0	20.435231791129777	1.3002236E7	96.6673563563804	16.898991724464175	55.32037942734919	86.82215603248844	5.0	10.0	40.0	0.19210971716429687	0.9030777120144192	9.058943783848546	11.782116250395799	30.16246774471563	46.04404942669357	22.489087080174038	1.3043957484167332	1.0727499484584673	84.85507058393097	0.16456135020343765	35.5	26325	35.5	35.5	35.5	81.34733797489802
32151201_EXO_S23	180322-190603	1.4362037E7	1.147818E7	958320.0	6.558618178143255	1.395467E7	97.16358480346486	16.04002637222786	50.18649805896311	83.4516672756419	5.0	13.0	49.0	0.38441924250028076	1.8471143875967253	11.18650506410881	11.805189891389977	0.5373412858136046	94.672247690836	4.735306468447089	0.05510455490330349	1.2952510644839936	78.81231486440333	0.1710849191842651	35.5	23.4625	35.3	35.5	35.5	79.92027871812334
