name	180322-190603	180626-180628-190531	180726-190530	180913-190529	180919-190527	181003-190524	181004-190521	181023-190319
Hsa-Mir-130-P2b_5p*			26		20		17	
Hsa-Mir-130-P4a_3p	1757	115	5152	2386	4811	7208	7511	5632
Hsa-Mir-130-P4a_5p*	63	10	297	101	148	552	352	530
Hsa-Mir-1301_3p	6052	263	16152	5355	9859	17864	19861	16925
Hsa-Mir-1301_5p*					11	27		
Hsa-Mir-1307_3p	2201	189	7792	3215	3331	5292	4550	4205
Hsa-Mir-1307_5p	620	15	1939	768	1247	981	1572	812
Hsa-Mir-132-P1_3p	14801	185	45594	21772	56079	66718	77855	66019
Hsa-Mir-132-P1_5p*	2813	14	14070	4474	14643	14331	19059	15026
Hsa-Mir-132-P2_3p*	258	34	1389	626	1725	1383	2115	1603
Hsa-Mir-132-P2_5p	1253	42	2835	776	2097	3072	3899	4359
Hsa-Mir-1323_5p		2	76	8	42	115	98	60
Hsa-Mir-133-P1-v1_3p	214	19	1237	795	1129	625	729	887
Hsa-Mir-133-P1-v1_5p*			16	6	2		19	
Hsa-Mir-133-P1-v2_3p	214	19	1237	795	1129	625	729	887
Hsa-Mir-133-P1-v2_5p*			16	6	2		19	
Hsa-Mir-133-P2-v1_3p	214	19	1237	795	1129	625	729	887
Hsa-Mir-133-P2-v1_5p*			16	6	2		19	
Hsa-Mir-133-P2-v2_3p	214	19	1237	795	1129	625	729	887
Hsa-Mir-133-P2-v2_5p*			16	6	2		19	
Hsa-Mir-133-P3-v1_3p	1	19		11	12	1	9	
Hsa-Mir-133-P3-v1_5p*						1		
Hsa-Mir-133-P3-v2_3p	1	19		11	12	1	9	
Hsa-Mir-133-P3-v2_5p*						1		
Hsa-Mir-134_3p*			78	15	28	14		
Hsa-Mir-134_5p	692	68	3878	1539	3639	4899	5304	3063
Hsa-Mir-1343_3p	98	6	298	110	301	348	407	255
Hsa-Mir-1343_5p*	72	1		4			14	1
Hsa-Mir-135-P1_3p*		1	54	3	1	27	36	55
Hsa-Mir-135-P1_5p	4615	130	15860	4385	17272	11652	16588	20688
Hsa-Mir-135-P2_3p*	3286	15	3852	1095	1841	1942	3797	4978
Hsa-Mir-135-P2_5p	4639	130	15947	4391	17365	11753	16633	20794
Hsa-Mir-135-P3_3p*		4	45	79	31	1	26	70
Hsa-Mir-135-P3_5p	9191	141	16474	11543	15143	11711	17624	21228
Hsa-Mir-136-v1_3p	944	11	5860	2268	10181	7222	10970	7998
Hsa-Mir-136-v1_5p*	138	20	574	181	874	1039	1212	1799
Hsa-Mir-136-v2_3p	944	11	5860	2268	10181	7222	10970	7998
Hsa-Mir-136-v2_5p*	138	20	574	181	874	1039	1212	1799
Hsa-Mir-137-P1-v1_3p	1265	44	5098	1104	2962	4324	4298	5066
Hsa-Mir-137-P1-v1_5p*	44	3	112	28	39	260	130	44
Hsa-Mir-137-P1-v2_3p	1265	44	5098	1104	2962	4324	4298	5066
Hsa-Mir-137-P1-v2_5p*	44	3	112	28	39	260	130	44
Hsa-Mir-138-P1_3p*	18	4	210	185	369	547	492	605
Hsa-Mir-138-P1_5p	676	235	9221	1728	5705	4603	5114	3919
Hsa-Mir-138-P2_3p*	223	16	516	307	739	905	1086	711
Hsa-Mir-138-P2_5p	293	224	3929	1105	2738	2568	3326	2191
Hsa-Mir-139_3p	1834	93	4519	2100	3481	8831	10326	6983
Hsa-Mir-139_5p	13411	217	67598	27603	85707	87714	109519	56881
Hsa-Mir-140-v1_3p	20394	342	62408	17903	33827	52493	64522	54897
Hsa-Mir-140-v1_5p*	1431	40	3526	910	3838	4446	4509	9604
Hsa-Mir-140-v2_3p	20394	342	62408	17903	33827	52493	64522	54897
Hsa-Mir-140-v2_5p*	1431	40	3526	910	3838	4446	4509	9604
Hsa-Mir-142-v1_3p*	268	45	678	138	718	954	2353	1116
Hsa-Mir-142-v1_5p	713	10	1039	445	2337	2197	3613	2363
Hsa-Mir-142-v2_3p	268	49	678	138	718	954	2353	1116
Hsa-Mir-142-v2_5p*	713	10	1039	445	2337	2197	3613	2363
Hsa-Mir-142-v3_3p	268	50	678	138	718	954	2353	1116
Hsa-Mir-142-v3_5p*	713	10	1039	445	2337	2197	3613	2363
Hsa-Mir-142-v4_3p*	268	45	678	138	709	954	2349	1054
Hsa-Mir-142-v4_5p	713	10	1039	445	2337	2197	3613	2363
Hsa-Mir-143_3p	93215	390	293383	121233	620707	625925	883172	720142
Hsa-Mir-143_5p*	9	2	155	38	262	232	176	89
Hsa-Mir-144_3p*	80		143	148	748	230	464	355
Hsa-Mir-144_5p	166	19	1019	351	1017	1233	2032	1981
Hsa-Mir-145_3p*	1438	15	4228	877	2865	5506	7086	7424
Hsa-Mir-145_5p	2072	100	10955	2475	7556	9687	10812	12819
Hsa-Mir-146-P1_3p*		1	69	9	19	31	75	
Hsa-Mir-146-P1_5p	11941	158	32101	6129	11480	31523	29048	29430
Hsa-Mir-146-P2_3p*	188	19	987	213	750	1026	1577	1269
Hsa-Mir-146-P2_5p	30014	335	58343	15372	47375	77956	101794	94276
Hsa-Mir-147-v1_3p			71	9	12	18	25	
Hsa-Mir-147-v1_5p*				3	1	54	68	
Hsa-Mir-147-v2_3p			71	9	12	18	25	
Hsa-Mir-147-v2_5p*				3	1	54	68	
Hsa-Mir-148-P1_3p	45805	404	80415	36144	94520	99340	111634	159330
Hsa-Mir-148-P1_5p*	329	1	1134	321	1269	667	841	1146
Hsa-Mir-148-P2_3p	4699	163	15237	5807	10140	14566	15041	13273
Hsa-Mir-148-P2_5p*		1		26	17	2		
Hsa-Mir-148-P3_3p	9406	179	18857	7801	25025	25853	31817	28183
Hsa-Mir-148-P3_5p*	70	11	478	111	706	340	590	1129
Hsa-Mir-149_3p*	92	11	640	84	151	194	327	338
Hsa-Mir-149_5p	8392	161	37505	13892	29822	30607	45133	32611
Hsa-Mir-15-P1a_5p	1485	92	5022	1465	4472	5423	5605	7780
Hsa-Mir-15-P1b_3p*	331	3	934	332	582	803	983	672
Hsa-Mir-15-P1b_5p	3239	33	14001	6909	14096	11790	14672	11674
Hsa-Mir-15-P1c_3p*					11	27		
Hsa-Mir-15-P1c_5p	187	11	2592	887	4237	2428	2479	1654
Hsa-Mir-15-P1d_3p*	5324	76	13702	4863	7850	6398	8976	5995
Hsa-Mir-15-P1d_5p	986	25	2402	1038	2876	3107	3790	3730
Hsa-Mir-15-P2a_3p*		1			20		18	
Hsa-Mir-15-P2a_5p	26686	192	69572	31236	106067	78505	99346	100332
Hsa-Mir-15-P2b_3p*	1998	22	6645	2893	4068	5752	6288	4688
Hsa-Mir-15-P2b_5p	26702	190	69417	31284	106068	78544	99352	100339
Hsa-Mir-15-P2c_3p*	175	17	270	82	426	392	409	741
Hsa-Mir-15-P2c_5p	2562	21	7250	3537	16623	11484	12575	15884
Hsa-Mir-15-P2d_3p*		1		19			20	
