sample	batch	variable	value
32151178_EXO_S15	181003-190524	virus	2.099501145413474
32152087_EXO_S24	181003-190524	virus	0.22531048714423296
32151988_EXO_S22	181003-190524	virus	0.16847790264369197
32160019_EXO_S31	181003-190524	virus	0.6678065885387297
32152030_EXO_S23	181003-190524	virus	0.323694382807993
32151021_EXO_S13	181003-190524	virus	0.766374513971715
32150156_EXO_S1	181003-190524	virus	2.294780862395984
32151970_EXO_S21	181003-190524	virus	0.6651214979979709
32151029_EXO_S14	181003-190524	virus	0.15324774587077267
32150829_EXO_S9	181003-190524	virus	0.24323289666570186
32150792_EXO_S8	181003-190524	virus	0.1104811263232319
32151754_EXO_S20	181003-190524	virus	0.4324349042379426
32150309_EXO_S4	181003-190524	virus	0.12745962442229228
32160185_EXO_S34	181003-190524	virus	2.787125504299187
32151018_EXO_S12	181003-190524	virus	0.6621798282087643
32151480_EXO_S17	181003-190524	virus	2.051979448527782
32150697_EXO_S7	181003-190524	virus	0.33831493948579644
32152351_EXO_S28	181003-190524	virus	0.05799776238079601
32150318_EXO_S6	181003-190524	virus	0.02405182261152426
32152200_EXO_S25	181003-190524	virus	2.4007267302593838
32150274_EXO_S3	181003-190524	virus	0.2937086489449318
32151489_EXO_S18	181003-190524	virus	0.36358774032926344
32150882_EXO_S11	181003-190524	virus	0.09288461601268945
32151625_EXO_S19	181003-190524	virus	0.4514106561210825
32150835_EXO_S10	181003-190524	virus	0.9391977784344904
32152348_EXO_S27	181003-190524	virus	0.7800322536953967
32160965_EXO_S9	181004-190521	virus	0.23792888533450407
32160622_EXO_S5	181004-190521	virus	0.7219854499332921
32161245_EXO_S17	181004-190521	virus	0.4477127746018884
32170434_EXO_S28	181004-190521	virus	0.40211777424244205
32160340_EXO_S2	181004-190521	virus	0.5135903842074943
32161045_EXO_S12	181004-190521	virus	0.054985606401617815
32170383_EXO_S25	181004-190521	virus	0.45814766450727734
32170272_EXO_S24	181004-190521	virus	0.16285720820738747
32160628_EXO_S6	181004-190521	virus	0.32907543411915063
32161104_EXO_S15	181004-190521	virus	0.19129237013395617
32161237_EXO_S16	181004-190521	virus	0.10817166976579556
32170016_EXO_S20	181004-190521	virus	0.03036307924199675
32161013_EXO_S11	181004-190521	virus	0.08662940638011067
32170385_EXO_S26	181004-190521	virus	0.2533066686559635
32150161_EXO_S32	181004-190521	virus	0.6720118538322056
32160612_EXO_S4	181004-190521	virus	0.16831328078901814
32161253_EXO_S18	181004-190521	virus	0.6929669704450637
32170268_EXO_S22	181004-190521	virus	0.7022608833104992
32170269_EXO_S23	181004-190521	virus	0.3088663417060446
32150116_EXO_S31	181004-190521	virus	2.515351396119261
32161004_EXO_S10	181004-190521	virus	0.9311230090170907
32161392_EXO_S19	181004-190521	virus	0.36938794027789024
32160765_EXO_S8	181004-190521	virus	0.8943761014901507
32170450_EXO_S29	181004-190521	virus	1.3822521558769543
32160373_EXO_S3	181004-190521	virus	0.09750576715568153
32160284_EXO_S1	181004-190521	virus	0.12494590693190344
32170409_EXO_S27	181004-190521	virus	3.083535738082986
32170083_EXO_S21	181004-190521	virus	0.15774289032934924
32161065_EXO_S14	181004-190521	virus	0.014939169358777904
32150978_EXO_S34	181004-190521	virus	0.2538611117209417
32161046_EXO_S13	181004-190521	virus	0.027524783925841907
32160670_EXO_S7	181004-190521	virus	0.4711656606834102
32170652_EXO_S30	181004-190521	virus	1.1993264172004936
32150704_EXO_S33	181004-190521	virus	0.582675956162232
32170378_EXO_S26	181023-190319	virus	0.4255537053723441
32161454_EXO_S20	181023-190319	virus	0.2675926042274245
32160526_EXO_S15	181023-190319	virus	1.0648156017802386
32152086_EXO_S7	181023-190319	virus	0.40482481035722023
32151130_EXO_S2	181023-190319	virus	1.9500569057066857
32151185_EXO_S4	181023-190319	virus	0.8532226719642971
32170440_EXO_S27	181023-190319	virus	0.5450158397438567
32152175_EXO_S9	181023-190319	virus	0.44030868157885683
32152337_EXO_S10	181023-190319	virus	2.1213281805086845
32151033_EXO_S1	181023-190319	virus	0.6943338246378535
32170273_EXO_S23	181023-190319	virus	0.13787207694662074
32152088_EXO_S8	181023-190319	virus	1.2997443675389158
32151825_EXO_S6	181023-190319	virus	2.049779989734133
32151151_EXO_S3	181023-190319	virus	1.6248906846051832
32170329_EXO_S24	181023-190319	virus	0.0840927136032497
32170337_EXO_S25	181023-190319	virus	1.2497025248882951
32160079_EXO_S13	181023-190319	virus	1.0264969777478754
32152347_EXO_S11	181023-190319	virus	2.041385801790591
32160791_EXO_S16	181023-190319	virus	0.3313618008628244
32161000_EXO_S17	181023-190319	virus	0.11727673523353936
32160288_EXO_S14	181023-190319	virus	0.454646804111084
32170032_EXO_S21	181023-190319	virus	0.6458166946584466
32170447_EXO_S28	181023-190319	virus	0.09271197331292136
32160018_EXO_S12	181023-190319	virus	2.6717084493690884
32170073_EXO_S22	181023-190319	virus	0.16930653189154968
32161249_EXO_S19	181023-190319	virus	0.4210966154417566
32151764_EXO_S5	181023-190319	virus	2.1186959298291446
32161037_EXO_S18	181023-190319	virus	1.3970621664816085

