sample	batch		value
32151180_EXO_S20	180913-190529	ultraShortReadsPerc	18.608264870252093
32141643_EXO_S1	180913-190529	ultraShortReadsPerc	65.87970960563875
32141786_EXO_S2	180913-190529	ultraShortReadsPerc	62.132217701209555
32150076_EXO_S4	180913-190529	ultraShortReadsPerc	68.5886079988239
32150849_EXO_S15	180913-190529	ultraShortReadsPerc	9.99085926057736
32151444_EXO_S22	180913-190529	ultraShortReadsPerc	55.6169381679657
32150163_EXO_S7	180913-190529	ultraShortReadsPerc	68.26214086655735
32151565_EXO_S23	180913-190529	ultraShortReadsPerc	74.19343432557622
32151026_EXO_S17	180913-190529	ultraShortReadsPerc	28.84821352189996
32150825_EXO_S13	180913-190529	ultraShortReadsPerc	24.683629969763643
32152273_EXO_S34	180913-190529	ultraShortReadsPerc	67.67820567176835
32151691_EXO_S25	180913-190529	ultraShortReadsPerc	70.27583330566253
32150844_EXO_S14	180913-190529	ultraShortReadsPerc	16.22871430065047
32150424_EXO_S10	180913-190529	ultraShortReadsPerc	17.071906825623905
32152094_EXO_S32	180913-190529	ultraShortReadsPerc	71.6851815021226
32151125_EXO_S18	180913-190529	ultraShortReadsPerc	18.87839617104822
32150080_EXO_S5	180913-190529	ultraShortReadsPerc	70.66642513941798
32151765_EXO_S27	180913-190529	ultraShortReadsPerc	74.70929183396866
32151881_EXO_S29	180913-190529	ultraShortReadsPerc	71.37567516670457
32150696_EXO_S11	180913-190529	ultraShortReadsPerc	15.545412465460602
32151725_EXO_S26	180913-190529	ultraShortReadsPerc	67.52004909500678
32150993_EXO_S16	180913-190529	ultraShortReadsPerc	18.062642675418708
32150147_EXO_S6	180913-190529	ultraShortReadsPerc	67.98919792033305
32151667_EXO_S24	180913-190529	ultraShortReadsPerc	70.0131176724535
32151152_EXO_S19	180913-190529	ultraShortReadsPerc	23.710754310249527
32160466_EXO_S13	180919-190527	ultraShortReadsPerc	51.86023103412713
32160120_EXO_S8	180919-190527	ultraShortReadsPerc	54.44192892759272
32160246_EXO_S10	180919-190527	ultraShortReadsPerc	49.302203360922746
32170365_EXO_S26	180919-190527	ultraShortReadsPerc	46.25415094466787
32170367_EXO_S27	180919-190527	ultraShortReadsPerc	49.41299908030368
32152451_EXO_S5	180919-190527	ultraShortReadsPerc	46.3159887825145
32161246_EXO_S18	180919-190527	ultraShortReadsPerc	58.76138322346008
32170368_EXO_S28	180919-190527	ultraShortReadsPerc	57.02803790041319
32170400_EXO_S30	180919-190527	ultraShortReadsPerc	50.15080517670337
32160472_EXO_S14	180919-190527	ultraShortReadsPerc	51.84923473063521
32160241_EXO_S9	180919-190527	ultraShortReadsPerc	50.92461970833496
32152359_EXO_S1	180919-190527	ultraShortReadsPerc	55.172912573171224
32161415_EXO_S22	180919-190527	ultraShortReadsPerc	49.498881811220464
32161252_EXO_S19	180919-190527	ultraShortReadsPerc	63.98456979993909
32170381_EXO_S29	180919-190527	ultraShortReadsPerc	47.99581465994157
32152366_EXO_S2	180919-190527	ultraShortReadsPerc	49.732212995702206
32150043_EXO_S34	180919-190527	ultraShortReadsPerc	43.40056007412133
32170453_EXO_S31	180919-190527	ultraShortReadsPerc	43.2894858392967
32170276_EXO_S24	180919-190527	ultraShortReadsPerc	48.852386769194524
32152381_EXO_S3	180919-190527	ultraShortReadsPerc	53.672663192073976
32161367_EXO_S21	180919-190527	ultraShortReadsPerc	53.31528741115707
