name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-30a-5p	221784.310387484	112704.214089892	144976.92579427	152911.349301655	192737.113183057	87363.2487235841	132404.432699674	214896.867406176	99533.2266864464	103637.793554998	131775.6391609	135705.552570246	74593.2349538355	135094.949963738	117687.646677969	139002.949197544	332288.953842134	157853.011954458	189082.872180785	169983.885460055	173211.927833445	80175.1821416179	181601.170543648	111168.787883825	138591.484498471	154988.696031418	121629.135378691	104426.684897695	108334.70094749	122851.602420543	138370.130750297	182407.10089047	141208.876283346	141153.98981447	210084.488140345	90771.4498721395
hsa-miR-30a-3p	14853.6200978108	8823.22244147261	11807.065278822	35469.8472352697	11163.2378830996	10338.1029351793	13889.8383077315	11482.5003506059	14107.7778188155	9805.86321265978	8520.02922965829	7518.94393498464	2635.2189004381	12263.0358977685	11033.946788924	13112.2573667872	689.396169796958	8799.11070961901	7113.68919780362	13491.1668024031	11950.4530460836	10455.6178581339	13915.0962911715	13614.2133786226	12974.0948047771	11752.1780888052	13609.4987260182	9340.55632787441	7914.88665511975	18498.7437294946	14012.3036948481	20777.7535651194	7129.51254822211	17595.9868497039	13320.0694296651	6812.80579856295
hsa-miR-320a-3p	3291.48437225038	3829.02831834249	5917.02502649464	69.8225339276963	4563.70917779266	4096.58795630875	4669.39083820431	4773.72279451293	5753.20072322215	4609.40327696966	6710.98192747057	2346.36933308334	11736.6108413801	2758.12226074377	3797.88261617072	4171.96351570866	56961.3585294737	3555.0430050932	3512.44988103948	7193.21136314603	6035.58234650686	4406.10267379893	3524.59379209005	7329.01277824169	4766.90189811529	3404.43084816829	5082.82787590986	5822.87118438553	6230.18194075414	3591.19248791622	7372.83918326179	5170.71949451601	5464.77895818302	3399.57007670916	6314.83724060023	3307.4617362318
hsa-miR-27b-3p	13669.222561211	4011.14028431908	6962.07173515414	10403.5575552268	6642.94665731553	2305.38834514933	4884.41275070841	5862.46658975272	8929.48942867222	2963.94609610762	5972.38196971651	2903.4333010782	33289.6919001308	5406.62684189388	1840.54827893144	3432.36449045194	7324.83430409268	6543.7064702569	4745.97091181299	9767.07214432688	8372.43602425695	2317.98791306657	3122.79009979178	3594.73284781999	4442.94876601078	4895.3524401364	6313.05389249565	3241.31841786509	3639.85539907858	5667.64649235283	5324.39393828343	9090.48680415421	4134.00408225512	3461.73206510896	4565.15529179943	5785.70229642829
hsa-miR-26a-5p	41648.5173422466	26358.2954800565	38036.2657694027	32397.6557424511	31844.6556898619	27412.9095376214	31296.5115199763	36611.7650334482	44712.685422292	37461.7520818388	35690.5783831229	33108.6795656883	217604.537589149	41417.8026155023	34855.9669625558	45375.9627326515	37141.2186478111	36673.0752104351	42981.109783951	37097.8756182417	34424.4855681278	23502.4236585483	38982.0073405159	26251.5971790333	35963.360383771	31071.0483207956	35389.5675664716	40651.4685950778	29126.2866597024	45170.7638594312	36918.925369419	36397.0863229337	24065.2673380726	32994.2020650948	42331.5244511514	27929.6768837352
hsa-let-7g-5p	14048.3639822756	11936.9570507546	11370.4025695699	14942.022260527	16093.5875445204	8979.30279922564	10823.7316627624	11268.7186742127	8220.02314529826	12889.2376525397	12180.8023693285	13658.0046464958	83593.8941288807	10466.7203741046	8553.41091046567	10870.0222937378	5342.82031592642	13218.8939051403	15196.036024897	14437.4183168933	11798.7896948124	9495.80718281167	10059.190682625	9327.32700109815	11141.0219762843	11386.1373999542	13875.4223807537	14026.0106992881	10668.9694724185	11562.5037572276	11493.1851531228	10645.3922586723	8475.46736570052	13264.6776357577	12558.1261487216	10318.1498608941
hsa-let-7b-5p	74053.3655249114	59523.7199355495	92881.5926837231	97891.1925666303	21636.6127509514	85706.9791237402	85546.4919414253	39009.6461047455	82722.1376844301	82842.9303373748	66583.7410029092	67640.9670495858	56616.167084424	75325.0261517485	83212.402265497	45157.2080913784	119524.060938548	67232.2855657384	55456.7779561093	77650.7024997196	88707.5846414803	99537.4820094346	56760.0584278181	96304.2326450906	89495.4747839985	71107.8215417503	88484.1214326354	83926.0248402959	131421.854654666	36057.0873171623	125466.489405594	70086.7045041584	80752.2290681878	65026.2746875126	63701.2458842479	63840.6075868105
hsa-miR-30c-5p	4378.58012822298	9639.36467101778	22007.3099140478	9146.75194452822	21048.0582903904	28102.997131247	38326.3330621127	23983.2185825899	30209.4005374578	18222.1112964496	10652.2140133634	20833.9652617364	14030.4575907233	23748.13987584	15553.5672454372	20531.6856166336	95653.7185593279	14184.7732991272	13154.3806384602	22564.1322968793	18434.8351055358	21949.2754748451	14838.5398646991	29505.8351453051	21496.1154032024	18584.2644357447	15701.3437130217	27983.3290910511	33800.7839820365	49462.5228959567	33300.5266695107	19026.0691152273	18939.5070745176	17668.5091695036	17300.7584730335	7839.90930069761
hsa-miR-203a-3p	18443.7202795722	26753.2124399833	6618.62915484351	7820.12379990199	22384.3663688773	1351.5266809983	1730.75803398157	7464.72719529792	3955.07066018815	5823.32604233466	7592.42432988462	1547.96776427521	641.70502719493	774.395865516521	6563.3764769002	16656.6033997956	22060.6774335027	6467.85206758777	25313.0153452061	5068.39508809305	13030.6675275866	11564.6655538197	7866.89334394498	2517.42937013481	2745.61686258998	7559.11888755385	4446.98072127001	4584.81215341193	3034.45341041112	11234.3104191404	1812.32674727474	2819.9132819226	7448.29132078278	8998.2931652513	8876.63922299205	23265.3077685365
hsa-miR-204-5p	18413.5231752396	10055.9129078021	16105.0038552808	42731.3907637502	5890.36882249982	7340.54886641715	10356.6482689336	10508.3611653913	9198.59732926234	7309.54543150037	4814.83557366091	10162.8683335413	2841.65888980701	9953.99251794067	16046.4044114962	8648.62099604773	45327.79816415	6806.66839950988	7183.41649478512	19706.9626790247	13519.7044561754	7947.47309653953	8684.59910370988	7005.26354660573	15372.9449344101	7649.99795513064	10838.3636110764	2998.49909824188	15417.9014654903	9492.36116313882	13560.3947820246	17358.7185204955	6132.69638640539	16642.8363609069	8059.87319378552	4202.64368763358
