name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-21-5p	17743.6459986877	6149.74439892375	7539.73759622648	14256.4570154502	13359.1162180014	3972.94753018913	6658.41045035268	7185.4606212212	9072.76256203757	10718.5620328844	46396.9669724921	6548.16237270732	2686.83383925293	4161.62629148759	5004.51197712055	6407.14672222562	11596.6503395199	8033.37164981157	41455.028669368	24835.8492262759	14213.72676663	4543.9680719057	14268.6035203318	7972.03794317889	8787.62122711426	6484.08034814065	6338.38788371866	6617.88896036768	3616.92814039959	23298.8225503214	9502.75383040018	9150.03251338313	5496.49219656277	6249.80751093043	11625.0476379162	57323.0390559485
hsa-miR-30a-5p	115967.671748178	63083.9097952987	78597.7721350006	73490.124327737	106382.293236105	58101.6428031279	66006.7457242067	108236.940622199	50436.1462260404	54767.7216583572	69206.0115137813	71631.3592532196	17898.4325197802	68549.8750226353	65782.4788353032	72682.9938797909	148405.020892003	83884.1111018979	97302.3245610663	79716.7483071917	88706.5827343799	46904.0114327749	91305.1170734004	61033.5168857229	70625.2495385941	82548.042940353	69095.821053854	54608.9475256775	59409.7873760066	63304.8313002155	64220.1616507574	90888.1480408995	73869.2976819631	76405.81515369	101367.632688741	43381.1459400878
hsa-miR-30a-3p	7766.53169927554	4938.3144732507	6401.09243336966	16945.477010054	6161.8289364582	6875.56311432917	6924.51052820823	5783.40698068256	7148.53417943193	5181.73142694864	4474.29221326276	3968.41237759404	631.497280727427	6222.5579826781	6167.53657103693	6856.20980005711	343.15072930971	4676.67523190838	3660.20945693572	6326.88657301168	6120.22604647152	6116.71878033363	6995.95912331297	7473.83115756567	6611.52232002944	6259.23399678159	7731.57870201889	4884.49627849969	4340.63244795735	9530.36056797706	6503.37762411237	10353.0777598432	3730.66100062976	9525.11889583915	6427.01842928246	3258.37128262773
hsa-miR-320a-3p	1721.60193668398	2142.79533394511	3207.85602372449	60.9904480764141	2519.56553628752	2724.26330784514	2327.47675090405	2404.42310269931	2915.4291880666	2435.59082424789	3524.57301401285	1237.91232505229	2816.12565872123	1400.16880051409	2123.01670288773	2181.65077621677	24896.6562963135	1890.23643227954	1807.01497293743	3373.40330561154	3091.02885248651	2577.46916126687	1773.8196085749	4022.79315664565	2429.0189910798	1812.73948080277	2887.38456742447	3045.00555076187	3416.52946793094	1851.95227022789	3421.9070307402	2576.37819268845	2859.03136541747	1839.7615027975	3046.90930962161	1583.22256398785
hsa-miR-27b-3p	7145.62032332177	2244.78889549004	3774.29969489386	4965.57797849935	3666.15883741255	1532.54847451672	2434.7304622495	2952.75662134441	4523.9128730844	1565.78382762792	3136.5849785997	1532.03450950233	7990.70633010613	2743.58592496337	1029.0686820892	1794.97613016934	3270.07458190302	3477.0598576771	2442.01278985018	4580.70679228118	4287.37899811814	1355.54928732149	1571.95902582919	1974.72353107813	2263.91362782108	2607.09660243826	3586.52026105252	1694.90577155987	1996.26229670645	2920.73174462357	2471.0604122039	4529.62243485707	2163.3797561106	1873.43030544209	2202.46340088616	2765.60571330417
hsa-miR-26a-5p	21777.4094564743	14753.2233880967	20620.9676268818	15581.8976399559	17577.3679495939	18231.1452284714	15601.8167414181	18440.2489006361	22656.6349654395	19796.8761589649	18743.9597170911	17476.0825982904	52218.6367786375	21016.1218864168	19483.0262468572	23726.4328727644	16605.8130171138	19488.4672852498	22118.1855165092	17397.5806159756	17629.8760284894	13749.1556618798	19599.6049620809	14413.3361726902	18326.6273289298	16548.4217738034	20104.3472129386	21258.3450418759	15972.6828915234	23275.4465485042	17134.7145576815	18135.5798777021	12589.9782172734	17859.4482451729	20425.2857795084	13349.186730313
hsa-let-7g-5p	7345.61121943516	6681.4787706651	6164.39811693313	7177.67864455779	8882.12269300054	5971.62060381766	5395.6523158331	5675.7399563774	4165.88898914042	6811.40700379249	6397.08018661969	7209.38124988877	20062.3643992244	5311.28685456557	4781.1357493456	5683.89749189546	2420.44905275148	7024.51899312715	7820.07385547969	6770.66412511619	6042.59766732327	5555.0858493111	5058.61156652942	5121.6028738709	5677.28146233774	6064.20313494133	7882.62440639435	7334.80325706584	5850.8351215001	5958.48333322704	5334.1144209477	5304.24346996254	4434.57010482653	7180.15660827899	6059.29409370729	4932.45688908727
hsa-let-7b-5p	38721.6868761878	33317.0756029584	50354.6924738759	47037.3944292393	11944.1414070642	57001.0916355487	42647.1162386439	19648.0568755765	41917.0073757101	43778.9518860908	34968.4048250699	35703.7685230105	13584.7411470171	38221.4332557135	46512.1365037918	23612.3905406951	53384.6564877193	35728.1373912385	28537.6852215378	36415.5071916796	45429.5604805065	58232.2879843355	28539.192678294	52870.9949291108	45606.3830460247	37872.3794406093	50266.9197016441	43888.4008548984	72069.9174023667	18581.6367852254	58231.6113641073	34922.1193774581	42243.0250189941	35198.1940087925	30736.1043206722	30510.2706967457
hsa-miR-30c-5p	2290.26133753156	5394.78441376595	11931.0566943812	4424.67885164118	11617.8565125931	18691.0929866458	19107.403668923	12079.6208376426	15307.2757523457	9629.34176259775	5593.91468093422	10996.97678091	3365.90940915298	12050.277939684	8693.92519299388	10735.8437207101	42551.704086848	7538.9021829381	6768.73923445838	10581.7444308782	9441.21682674786	12840.9028651068	7462.08915627186	16197.8456787142	10954.2052819642	9897.86844290683	8919.45812713698	14633.6926896699	18535.6764025844	25482.9479480135	15455.5389142805	9480.08702862492	9908.14549074759	9563.63875666133	8347.46873539307	3749.89659480083
hsa-miR-203a-3p	9642.57002195027	14978.1708133344	3588.35621752356	3769.49079699129	12350.2121346474	897.947641400003	862.064331716307	3759.79456578167	2005.00512009633	3076.97288069369	3987.24973523528	816.383362058617	153.199243874581	393.72428841251	3668.76468298966	8708.99135041069	9784.02169999759	3437.82685410616	13028.5634003001	2376.65653656147	6672.9690580035	6766.07764770251	3956.06484317908	1384.05253744217	1398.7518964043	4025.84195849429	2525.82843447915	2397.46554442797	1664.38881256906	5788.12413111967	840.860598826324	1404.96231676302	3896.85228039715	4870.73831072806	4282.9463514352	11109.4504976743
