name	180913-190529_Brain_S36	32141643_EXO_S1	32141786_EXO_S2	32150013_EXO_S3	32150076_EXO_S4	32150080_EXO_S5	32150147_EXO_S6	32150163_EXO_S7	32150243_EXO_S8	32150292_EXO_S9	32150424_EXO_S10	32150696_EXO_S11	32150698_EXO_S12	32150825_EXO_S13	32150844_EXO_S14	32150849_EXO_S15	32150993_EXO_S16	32151026_EXO_S17	32151125_EXO_S18	32151152_EXO_S19	32151180_EXO_S20	32151226_EXO_S21	32151444_EXO_S22	32151565_EXO_S23	32151667_EXO_S24	32151691_EXO_S25	32151725_EXO_S26	32151765_EXO_S27	32151859_EXO_S28	32151881_EXO_S29	32151984_EXO_S30	32152084_EXO_S31	32152094_EXO_S32	32152253_EXO_S33	32152273_EXO_S34	32152341_EXO_S35
hsa-miR-374b-5p	4078	39	19	38	277	86	393	173			2	745	330	280	47	1		866	233	82	1		468	40	18	11	352	3	281	448	139	1216	51	383	304	136
hsa-miR-374c-3p	6																												5							
hsa-miR-374c-5p	81				9	7	7											118					6				8		6	9	8	33	1	3	4	
hsa-miR-375-3p	406	3531	375	275	428	173	226	22	106		1253	437	174	203	352	294	10	212	601	586	190	748	801	345	7	65	544	14	194	70	669	658	74	328	266	85
hsa-miR-376a-2-5p	6																																			
hsa-miR-376a-3p	284																																			
hsa-miR-376a-5p	83																																			
hsa-miR-376b-3p	5																																			
hsa-miR-376b-5p	24																																			
hsa-miR-376c-3p	458	1																												1		3				
hsa-miR-376c-5p	24																																			
hsa-miR-377-3p	35																																			
hsa-miR-377-5p	115																																			
hsa-miR-378a-3p	1576	18	26	32	716	186	363	74		57	179	1409	1309	775	565	265	2	1674	663	709	5	20	500	87	16	26	225	10	203	174	124	853	84	286	111	225
hsa-miR-378a-5p	49		14		8	22	2					94											18			2	1	1	5	6	7	25	3	8		
hsa-miR-378b												1																								
hsa-miR-378c	37	5			17	7	13	9									2	163					1				18		7	6	9	36	2	7	8	7
hsa-miR-378d	10				8		1	4				1	1		1			58									1					3				
hsa-miR-378f													38																							
hsa-miR-378g	26				1						4	58				1			1	2							1		2		1	3				
hsa-miR-378i	1										1	1	1		1												1		1			2				1
hsa-miR-379-3p	179											62		16								35														
hsa-miR-379-5p	10488						5	8				54						7											2			5				
hsa-miR-380-3p	608					2																						1								
hsa-miR-380-5p	62																																			
hsa-miR-381-3p	380						3																									3				
hsa-miR-382-3p	1283							10																		2						2	1			
hsa-miR-382-5p	5445	5					17	3										95	219						1	1			1		1	7	5	9		
hsa-miR-383-3p	2																																			
hsa-miR-383-5p	1460																			1																
hsa-miR-3909	77			2			14					43											11			2	3			7	1	3	2	5	4	2
hsa-miR-3912-3p	29				3			1																	1		5		1	1		1		4		1
hsa-miR-3912-5p					1																															
hsa-miR-3913-3p																							5						1			2		1		
hsa-miR-3913-5p																							10				1			3		1		1		
hsa-miR-3918																																2				
hsa-miR-3919																															2					
hsa-miR-3920																																1				
hsa-miR-3925-5p																																				4
hsa-miR-3927-3p				3																										1						
hsa-miR-3928-3p	19						3																						1			2		3	2	
hsa-miR-3934-5p												48											1							5						
hsa-miR-3936																											2					1				
hsa-miR-3939								2																										1		5
hsa-miR-3940-3p	6					4																	3						1			1			2	
hsa-miR-3941	6																													1						
hsa-miR-3943	20																																			
hsa-miR-3944-3p																												1				1				
hsa-miR-3944-5p																			34													2		5		
hsa-miR-3960					1		4					84											7		2		13	14	5	2	4		7	2	9	1
hsa-miR-409-3p	5791	3				2	12	5										60					9			1			5	3	2	5	3	2		1
hsa-miR-409-5p	405						2																													
hsa-miR-410-3p	502																																			
hsa-miR-410-5p	24																																			
hsa-miR-411-3p	518																						3									1				
hsa-miR-411-5p	4257											105									1		5						1	1		1				
hsa-miR-412-3p	26																																			
hsa-miR-412-5p	483																																			
hsa-miR-421	2419	16	8	8	35	14	51	6		102		218	46	50	1			235	1	96			72	6	3		58		25	26	18	114	18	41	29	25
hsa-miR-423-3p	8018	292	162	241	1030	684	1533	224	8	65	192	4182	1795	1374	429	316	60	3467	1360	2253	14	12	1774	196	86	50	1243	38	1151	972	318	1532	200	1268	827	549
hsa-miR-423-5p	5077	373	146	230	1401	909	1727	357	13	769	213	6787	3650	1862	774	630	333	7631	2769	4475	17	98	4801	301	112	91	1406	85	1449	1411	515	2163	272	1599	1447	657
hsa-miR-424-3p	161	14	79	19	160	122	207	49		1		351	257	237	102	26		503	277	149	1	2	357	26	3		124	13	107	95	92	874	21	262	127	45
hsa-miR-424-5p	119		16	13	82	36	21	16		1		22		20				125		34	1	1	34				12	1	36	37	14	287	11	79	9	9
hsa-miR-425-3p	571	7	7	18	54	19	50	20				176	48					195	123	251			48	12	2	3	35	5	54	30	18	56	6	45	24	32
hsa-miR-425-5p	2448	38	30	50	361	150	244	71	4	592	179	995	158	356		138	5	377	251	246	1	1	277	66	39	22	340	16	228	212	128	551	50	349	166	225
hsa-miR-4259						11	6													135								4	6	2	1	1	4	2	6	
hsa-miR-4267																														6						
hsa-miR-4268																																	1			
hsa-miR-4286	4	7										84	38					77					2	2			10			8	2	6		9	7	3
hsa-miR-429	59	408	239	314	2124	827	2589	727	5	331	218	5519	2660	1229	536	346	158	3986	2577	2599	9	4	2179	324	195	63	2883	83	2146	2396	875	5804	568	3009	1837	1472
hsa-miR-4306	1																																			
hsa-miR-431-3p	94																																			
hsa-miR-431-5p	209																																			
hsa-miR-4319								2																												
hsa-miR-432-5p	4805						2	4									1	53					8						7	6		6		2	5	
hsa-miR-4324	41	1						3	3							16					91				4	2			5	8				8		
hsa-miR-4326	28					2	18											52					14						2	3	2	4		3	1	4
hsa-miR-4327																																				4
hsa-miR-433-3p	8500				3																		6									5				2
hsa-miR-433-5p	192																																			
hsa-miR-4422	5						2																											3		
hsa-miR-4423-3p		3																																		
hsa-miR-4423-5p					3	3	1											70															2		4	2
hsa-miR-4429	1						3	1		1	1	3	2			2		2	2	1			1				2									2
hsa-miR-4433a-5p	2																										3									
hsa-miR-4433b-5p	3																			37																
hsa-miR-4436b-3p																																		3		
hsa-miR-4440	7						1																	1												
hsa-miR-4443	300	6		6	11	4	39					34	31					1					17	4			7		9	4	19	39	3	40	30	17
hsa-miR-4446-3p	63				5							26											9	4			3					3		3		6
hsa-miR-4449					1		3		8																		3		1	1		1	1	1		
hsa-miR-4450																																1				
hsa-miR-4451																																1	2			
hsa-miR-4454												1												4	1											
hsa-miR-4466						4														20			53	6		3	1	3	8		5	7	2	3		2
hsa-miR-4473	5																												1					3		
hsa-miR-4475																														1						
hsa-miR-4479					2																												3			
hsa-miR-448	57																																			
hsa-miR-4482-3p	2											50																								
hsa-miR-4482-5p	1																																			
hsa-miR-4484	16																																			
hsa-miR-4485-3p	40		1		6																						4							1		
hsa-miR-4488	22				50			9										42					24		9				3		8			3	40	2
hsa-miR-4489																																1				
hsa-miR-4492					12												44									1					1	3		3		
hsa-miR-4497																					22	34					5				4	2				
hsa-miR-4498	4																																			
hsa-miR-449a						4	3																13				2		5	6		2	1	2	8	2
hsa-miR-449b-3p												14																					1			1
hsa-miR-449b-5p																														1						
hsa-miR-449c-3p																											2					1				
hsa-miR-449c-5p	1																										4			10		2				
hsa-miR-4504																																			3	
hsa-miR-4505																								5												
hsa-miR-4508	6			7																	206		13				3					9	1			
hsa-miR-450a-1-3p	3					8		2																							1	1		2		
hsa-miR-450a-2-3p	3					5	6													34			9		3		7			3		9	1	1		
hsa-miR-450a-5p	44	3	18		27	43	13	6	1	1		98		57			1	106	1			1	67	4	9	1	21	1	18	16	20	136	6	45	20	15
hsa-miR-450b-5p	108	3	7	2	24	29	31	19				258	62					43	1	72			35	2	2	3	14	2	22	11	10	107	8	41	14	2
hsa-miR-4510	36	2			2	2	7	1		3	1	8	7	5	1		1	10	4	7			6				4		7	4	6	7	1	3	3	
hsa-miR-4516					1																					13				2		1				
hsa-miR-451a	19020	5		14	61	64	13	2	6	1	2	6	4	2	1	1	70	9		8	13	4	17	9	2	18	4	7	4	5	4	2950	4	3		6
hsa-miR-452-3p	9						1																													
hsa-miR-452-5p	31	5	1	1	36	17	21	17							97								14	6			27		18	34	2	42	5	36	18	11
hsa-miR-4520-2-3p	2																						1													
hsa-miR-4520-3p	2																						1													
hsa-miR-4520-5p					2																															
hsa-miR-4521	1					2																					4					2				
hsa-miR-4523																									1											
hsa-miR-4524a-3p	1																																			
hsa-miR-4525	4																																	3	3	
hsa-miR-4526	3																																			
hsa-miR-4536-3p																																1				
hsa-miR-4538		7		22		3			8						32					34												2	4			2
hsa-miR-454-3p	1145	5	9	7	25	10	51	11			1	386	30					81	252	82	1		59			1	35		21	25	14	83	2	14	13	22
hsa-miR-454-5p	35				9		2													19				2	2	3	6		7	2	1	6		4	3	
hsa-miR-4540																																1				
hsa-miR-455-3p	320	16	27	38	306	91	547	48		442	3	713	242	204	40	96		683	29	216	1	4	330	12	13	13	128	9	185	95	85	925	33	196	91	57
hsa-miR-455-5p	15			14	11	3	29						27		1	42			152				7				5		10	6	2	35		21	7	2
hsa-miR-4632-3p																				1																
hsa-miR-4633-5p					1																															
hsa-miR-4634																14									8						4		3			
hsa-miR-4635	3																			43																2
hsa-miR-4636	3				1									32									2						1	1		5		1		3
hsa-miR-4638-3p							1																													
hsa-miR-4638-5p																													3							
hsa-miR-4640-3p	38						2											41		135			3	1	2		3		5			5		3		1
hsa-miR-4642																											4									
hsa-miR-4644																														2				2		
hsa-miR-4645-3p																											3		2					7	5	
hsa-miR-4646-3p																										12										
hsa-miR-4647							1					100	11				61												3	7			1			
hsa-miR-4654	3																																		1	
hsa-miR-4655-5p	1																																			
hsa-miR-4657					2																															
hsa-miR-4658																																			1	
hsa-miR-4659a-3p	3						6																													
hsa-miR-4660					1																						3	1								
hsa-miR-4661-5p	2							5										9		90							2					1			1	
hsa-miR-4662a-3p	1																															1		1		
hsa-miR-4662a-5p	54					8	22	2				49	26					143	280				48	3			27		26	5	5	59	4	11	9	9
hsa-miR-4662b	3																						2						2			4				
hsa-miR-4665-3p																										1						1	6			
hsa-miR-4665-5p																													2							
hsa-miR-4667-5p	6																																			
hsa-miR-4670-5p																																4				
hsa-miR-4671-3p	4																																			
hsa-miR-4671-5p								4																	3								7			
hsa-miR-4674						7																								1						
hsa-miR-4676-3p																													2					2		
hsa-miR-4676-5p									14																					1		2				
hsa-miR-4677-3p	18																													4		1		3		
hsa-miR-4677-5p	4					3																														
hsa-miR-4680-3p			23	3	45	13		18								24						69	13			2	11	9	4	5	1	2	5	8		14
hsa-miR-4683					1																															
hsa-miR-4684-5p	4																												2							
hsa-miR-4685-3p	14			8														63	59				1				2				1				5	
hsa-miR-4688	9																																			
hsa-miR-4690-3p																																		1		1
hsa-miR-4690-5p																																1				2
hsa-miR-4695-3p	5																	35					6			4										
hsa-miR-4695-5p	3						3																6													
hsa-miR-4697-3p																																1				
hsa-miR-4700-5p																														4						
hsa-miR-4701-3p																															1					
hsa-miR-4703-3p																													1							
hsa-miR-4705	105																														2					
hsa-miR-4707-3p							1																							2						
hsa-miR-4707-5p																																		1		
hsa-miR-4708-3p													20											3					2			1				
hsa-miR-4708-5p					13																					1			5				1			
hsa-miR-4709-3p																																1				
hsa-miR-4709-5p						4																							4			1				
hsa-miR-4712-5p																																				1
hsa-miR-4713-5p						2																												1		
hsa-miR-4714-3p																													4							
hsa-miR-4715-5p							8																5													
hsa-miR-4720-5p																							4													
hsa-miR-4723-3p					2																								1							
hsa-miR-4724-5p																								1					1			6				
hsa-miR-4725-3p								1															1													
hsa-miR-4727-3p	1																															1				
hsa-miR-4728-3p	1			15		1	5	3				68	31					100	1				19	1	3		13		13	9	3	10		3	6	7
hsa-miR-4728-5p					2	2	1						58																1							
hsa-miR-4729	3																																			
hsa-miR-4731-5p	8																																			
hsa-miR-4733-5p																																		3	6	4
hsa-miR-4734	4																20																			
hsa-miR-4738-3p	11	4					4																								2				4	
hsa-miR-4741																																	1			
hsa-miR-4742-3p	29																													1		4				
hsa-miR-4742-5p	15																										5		2			1				
hsa-miR-4743-5p	7																																			
hsa-miR-4745-3p	3							4																												
hsa-miR-4745-5p	4							4											107																3	
hsa-miR-4747-5p	3																																			
hsa-miR-4748																																1				3
hsa-miR-4749-3p																																				1
hsa-miR-4749-5p	1				2																															
hsa-miR-4750-5p	13						2																7				13					1		2		
hsa-miR-4753-3p																														1						
hsa-miR-4753-5p	2																																	1		
hsa-miR-4754	2																																			
hsa-miR-4755-5p																																				2
hsa-miR-4758-3p																				71									2	3					1	
hsa-miR-4758-5p		4																																		
hsa-miR-4759																											8									
hsa-miR-4760-5p	3																																			
hsa-miR-4761-3p				18					9														12									8	15			11
hsa-miR-4762-5p																				76							1									
hsa-miR-4763-3p	2	5																							1					2	2		2			
hsa-miR-4763-5p	5	1																																		
hsa-miR-4764-5p	4																																			
hsa-miR-4766-3p	2																																			
hsa-miR-4766-5p	3																																			
hsa-miR-4767	1																																			
hsa-miR-4768-5p	2						2																								2					
hsa-miR-4775	4																										2				1	1				
hsa-miR-4776-3p	3																																			
hsa-miR-4776-5p																								8						2						
hsa-miR-4778-5p																															2					
hsa-miR-4780	23	8																																		
hsa-miR-4781-3p															1																					
hsa-miR-4781-5p	2																																			
hsa-miR-4783-3p																							1									1				
hsa-miR-4784	2																															1				
hsa-miR-4785																																2	5			
hsa-miR-4787-3p	61						2																				1		3					3		
hsa-miR-4787-5p	4							12																			3						2			
hsa-miR-4788		3																																		
hsa-miR-4790-3p	2																																			
hsa-miR-4790-5p																													1							
hsa-miR-4791	82																																			
hsa-miR-4794							3																													
hsa-miR-4796-3p	3																													4		7		1		
hsa-miR-4796-5p																											4		2	1	2		1			
hsa-miR-4797-3p	6	3																					4								2	1				
hsa-miR-4797-5p	4																																			
hsa-miR-4798-5p	6																										1			2		1			1	
hsa-miR-4799-5p																																				1
hsa-miR-4800-3p																							6									3				
hsa-miR-4800-5p																			152																5	1
hsa-miR-4802-3p																																			2	
hsa-miR-4804-5p							2																				1					1				
hsa-miR-483-3p	54																															1		3		
hsa-miR-483-5p	32	1			3																			3										5		
hsa-miR-484	1539	28	11	13	168	116	222	58	8		75	527	559	61	52	17	1	584	65	600	47	1	383	44	20	12	200	21	212	165	90	398	39	229	166	82
hsa-miR-485-3p	5454						3										1			45										1		1		4		
hsa-miR-485-5p	3068																						6						1	1					2	
hsa-miR-486-3p	44				1		1	2			1	1			1			1						7			1				1	5				
hsa-miR-486-5p	4108	45	25	58	113	43	57	26	40	112	52	104	382	96	34	65	52	49	16	116	24	58	72	16	47	94	79	50	64	39	25	393	29	16	29	26
hsa-miR-487a-3p	357																	5					1													
hsa-miR-487a-5p	253																																			
hsa-miR-487b-3p	30041	7	4		14		15	12			1	169		139	103		1	64					33			5			5	16	4	11	5	8	2	
hsa-miR-487b-5p	100																																			
hsa-miR-488-3p	476																																			
hsa-miR-488-5p	66																																			
hsa-miR-489-3p					17	12	6	6					81					135	306	111			30	6		4	25		7	32	15	143	12	41		13
hsa-miR-490-3p	40																																			
hsa-miR-490-5p	86																																			
hsa-miR-491-3p	14																						1													2
hsa-miR-491-5p	99						9																							1		2				
hsa-miR-493-3p	36																																1			
hsa-miR-493-5p	297	3			6		4																11		1			1	6		2	2	1	2	3	
hsa-miR-494-3p	1105		11			1	9	1				198											5					1				1	3	1		
hsa-miR-495-3p	8749											48						82					6			1						13				
hsa-miR-495-5p	7																																			
hsa-miR-496	93																																			
hsa-miR-497-5p	850	6					1																	2			3		3	3		8		3	2	5
hsa-miR-4999-3p	1						3																													
hsa-miR-4999-5p						1	1																							1					3	
hsa-miR-499a-3p																													1		1	1				
hsa-miR-499a-5p	794	20			27	20	23	5											57			1	28	3	1	1	19	2	19	26	6	69	4	24	29	4
hsa-miR-499b-3p	1																																			
hsa-miR-499b-5p	1																																			
hsa-miR-5001-3p	14						1						12																						3	
hsa-miR-5001-5p																																1				1
hsa-miR-5002-5p	7																															1				
hsa-miR-5004-3p	3																																			
hsa-miR-5004-5p	5																																			
hsa-miR-5006-3p	5		8																													1		4	5	2
hsa-miR-500a-3p	398	164	68	32	483	451	843	203	2	1	1	1680	673	388	220	155	1	2049	694	1142	7		573	97	25	20	536	13	383	531	189	1102	89	704	493	162
hsa-miR-500a-5p	32	3	1	12	39	7	38	4			1	131	30	11				70		107			37	7	1	1	28	2	13	36	14	113	10	48	42	13
hsa-miR-500b-3p	14	7			1	1	7					127	1					14	2	2			12		3		3		1	5		8		5	5	
hsa-miR-500b-5p	28	3	1	12	35	7	32	3				131	29	11				70		107			35	2	1	1	21	2	13	34	12	100	10	39	34	12
hsa-miR-501-3p	329	141	51	57	440	274	688	110	3	479	108	1214	931	275	306	10	85	1855	1058	1379	7	28	596	88	11	16	347	26	260	328	163	765	82	555	398	172
hsa-miR-501-5p	64	15		1	29	60	117	26			29	101	150	81		19		413	198	405	1		156	15	8	4	91		34	106	28	297	16	121	114	21
hsa-miR-5010-3p	137				3	2					61	5											4						1	2	3	5			1	
hsa-miR-5010-5p	12																															3				3
hsa-miR-502-3p	314	101	24	51	389	310	688	162	1		206	1129	515	371	111	189	36	1821	1337	1042	4		620	89	34	31	499	15	414	579	200	1329	107	738	538	136
hsa-miR-502-5p	5	1		1	1	2	12	5				222						67	1	142			3	2			2		11	3	3	28	7	8	13	
hsa-miR-503-3p																																		4		
hsa-miR-503-5p	107	8	1		10	16	16	6				272	103					177					30	3	2	2	22	1	43	3	11	193	4	31	2	12
hsa-miR-504-3p																																1				
hsa-miR-504-5p	2897	4	9		27	3	31	6			161							50					26	1					8	9	1	39	2	4	1	
hsa-miR-505-3p	832	78	51	61	221	75	316	66	1	291	274	665	637	292	2	181	142	705	349	614	2	2	589	54	23	18	262	23	320	295	118	409	60	199	188	144
hsa-miR-505-5p	22				3	4	1	2											62				15						1	3	1	12				2
hsa-miR-506-3p	8				6		37											20											7			25	2	1		
hsa-miR-506-5p							8																3									5				
hsa-miR-508-3p	20	3			34		91					41		3		29							11				5		9		3	111		1	3	4
hsa-miR-508-5p					10		63																						5		1	41				
hsa-miR-5088-5p	6																																			
hsa-miR-5089-3p																												1								
hsa-miR-509-3-5p	11				29	1	24		1														9				3		1		2	61	1			
hsa-miR-509-3p	31				89	8	76					26	56	39						81			19				3	1	2	2	6	105	1	4	5	
hsa-miR-509-5p	4						13																									20				
hsa-miR-5090	2																										3		4			1				
hsa-miR-5091																																	1			
hsa-miR-5094	3																																			
hsa-miR-510-5p					19		34						48																			23				
hsa-miR-5100	48	65		55	190	150	227		20			90	67	1		62	58	269		564		30	390	17	20	16	234	9	255	118	18	149	8	297	83	19
hsa-miR-511-5p	21																												3							
hsa-miR-513a-5p	3				23		80					40				48		5					5				1		2		3	79		10		7
hsa-miR-513b-3p							2																													
hsa-miR-513b-5p	5	5					40						48					44									1		4		1	37				
hsa-miR-513c-5p	35				9		20					94	24										6				3		9	2	6	39	2			
hsa-miR-514a-3p	2	6			150	15	319	5					146					163					10	3		1	2		4	4	5	310	2	1		
hsa-miR-514a-5p	1				39		96							53				6	70										2	3		106			1	3
hsa-miR-514b-3p							1						1																			7				
hsa-miR-514b-5p	2				10		29						43					13		1				1	1	5						20				7
hsa-miR-515-3p																																		1		
hsa-miR-516a-5p	6					4						1											2													
hsa-miR-516b-5p	3																																			
hsa-miR-517a-3p	15																																	3		
hsa-miR-517b-3p	15																																	3		
hsa-miR-5187-3p	1																							1								1				
hsa-miR-5187-5p	11																						6							3	2	1				
hsa-miR-5189-3p																	59																			
hsa-miR-5189-5p																							6							1						
hsa-miR-518c-3p	1																																			
hsa-miR-518e-5p																													1							
hsa-miR-5191	6																																			
hsa-miR-5192																																	1			
hsa-miR-5193	1						1																						3			2		1		
hsa-miR-5195-5p																																1				
hsa-miR-5196-3p	26																															2				
hsa-miR-519a-3p	1																																			
hsa-miR-519a-5p	2																												1							
hsa-miR-519b-5p																													1							
hsa-miR-519c-5p																													1							
hsa-miR-519d-3p	1																																			
hsa-miR-519d-5p																																			1	
hsa-miR-520d-3p	2																																			
hsa-miR-520d-5p	1																																			
hsa-miR-520f-5p																																	1			
hsa-miR-520g-3p	9																																			
hsa-miR-520h	9																																			
hsa-miR-521	2																																			
hsa-miR-522-3p	38			1																									3				1	5		
hsa-miR-522-5p																													1							
hsa-miR-523-5p																													1							
hsa-miR-525-5p																																				4
hsa-miR-526b-5p																																3				
hsa-miR-532-3p	35	33	18	38	105	115	305	66	1	179	98	696	202	67	114			433	997	135	1		167	47	15	4	148	11	91	203	93	506	58	295	241	74
hsa-miR-532-5p	1196	202	210	43	716	445	1129	316	1	524	362	3127	1128	570	194	38	305	2622	1567	2294	3	5	489	175	43	28	756	25	434	825	389	2291	149	1478	982	304
hsa-miR-539-3p	568																																			
hsa-miR-539-5p	519																																			
hsa-miR-541-3p	11																																			
hsa-miR-541-5p	8																																			
hsa-miR-542-3p	70	1			49	36	69	18	1			81		97				96		46		1	30	7	2		12	10	39	19	4	267	3	58	38	2
hsa-miR-542-5p					1		3																				2		1		2	1			2	
hsa-miR-543	5855	3			3	1	2																4			3			6		1	8	1			
hsa-miR-544b																																5				
hsa-miR-545-3p	2																																			
hsa-miR-545-5p	2																														1					
hsa-miR-548a-3p	12																															2				1
hsa-miR-548a-5p	3																													1						
hsa-miR-548ab	12				4	9																										1	2			
hsa-miR-548ac																														1		1				
hsa-miR-548ag					2																															
hsa-miR-548ah-5p	1																																			
hsa-miR-548al	13																														1			5		
hsa-miR-548ar-3p	6																																			
hsa-miR-548as-3p	3																																			
hsa-miR-548at-5p																																	1	1		
hsa-miR-548aw																													3			3				
hsa-miR-548ax																																3				
hsa-miR-548ay-3p	4																												1			1				
hsa-miR-548b-3p	12																															1	1			
hsa-miR-548ba	2						5																				2					8	1	11		2
hsa-miR-548e-3p	21		3		5	3	5												1					1			6		5	7	3	5	9	5	5	11
hsa-miR-548e-5p	3																												1							
hsa-miR-548j-3p																														1						
hsa-miR-548j-5p	6																						1							1					2	
hsa-miR-548k	51				4		4																				4		1	5	2	7	5			
hsa-miR-548l	8	3						7				27															2		3		1	1		2	5	
hsa-miR-548n	6																																			
hsa-miR-548o-3p	3													35									3				6			2	1	1				
hsa-miR-548q	4				2		1																					1	1	1		4				
hsa-miR-548s	4																																			
hsa-miR-548v	9																											3	2					2		
hsa-miR-549a-3p	17																																			
hsa-miR-550a-3-5p	13			9	4												1						9	9			3		1	3				6	1	2
hsa-miR-550a-3p	9					4	7																							1		1			4	
hsa-miR-550a-5p	33	5		9	4		5										1						9	2	4		2		11	6	3	1		10	2	2
hsa-miR-551a	8																																			
hsa-miR-551b-3p	18				4		3																						3	2		1	2	12	8	1
hsa-miR-551b-5p	11							1				25															5				2	1		2		
hsa-miR-552-3p	2																																			
hsa-miR-552-5p					6																		2													
hsa-miR-556-3p	6						4																21		3		1		2	6		4		8	1	
hsa-miR-556-5p	10						7											10					18	1			2			2		8	4		9	7
hsa-miR-5571-5p																														1						
hsa-miR-5581-3p	9																	64														1				
hsa-miR-5581-5p																																1				
hsa-miR-5584-3p	5																																			
hsa-miR-5584-5p	52																																			
hsa-miR-5586-5p	4																																			
hsa-miR-5587-3p																																1				
hsa-miR-5588-3p																		49											1				1			
hsa-miR-5588-5p					9		8						10														3					9		1		2
hsa-miR-5590-3p																													3							
hsa-miR-5590-5p						3																														
hsa-miR-5680	9																																			
hsa-miR-5682	3																																			
hsa-miR-5683	4																																			
hsa-miR-5684																								1								1				
hsa-miR-5690																																1				
hsa-miR-5692a																														1		1				
hsa-miR-5695	4																								2											
hsa-miR-5696	3																								2											
hsa-miR-5697																		37																		
hsa-miR-5699-3p	2						2																													
hsa-miR-5699-5p	6				13																						1									4
hsa-miR-570-3p							1																													
hsa-miR-5708							1																													
hsa-miR-572		4																																		
hsa-miR-574-3p	2356	58	47	25	118	131	253	44		89	87	510	397	205	90	22	2	459	635	596	3	1	632	55	25	10	231	21	264	177	92	555	20	270	207	134
hsa-miR-576-3p																													1							
hsa-miR-576-5p	45	2		5	13	3	14	2										59					4				3		10	1	5	6	2	6	5	3
hsa-miR-577	471				4		9	4												37			3	2			21		12	21	6	3	2	6		2
hsa-miR-579-3p	6																													1						
hsa-miR-579-5p	7																																			
hsa-miR-580-3p																														1		3				
hsa-miR-581																																2				
hsa-miR-582-3p	118		15		3	6	14	12						49									2	2			22			14	1	11		12	5	
hsa-miR-582-5p	316	9			13	7	20	10			1	116	37										17	6	4		39	3	12	29	4	48	10	29	24	9
hsa-miR-584-3p	4																														1					
hsa-miR-584-5p	6024	4	21	6	47	34	7					427	309	257		37		75		158			32	39	2		112	5	56	42	14	41	14	91	27	65
hsa-miR-585-3p	12																															3				
hsa-miR-588	1																																			
hsa-miR-589-3p	28					2		5					46										4				1	1	11						6	2
hsa-miR-589-5p	106				7	14	9	1				11	31			1							22			3	14		15	8		15	2	5	6	9
hsa-miR-590-3p	510	1		3	15	1	21	8				35	28	64				18					14	5	4	1	31		33	23	5	61	2	27	15	12
hsa-miR-590-5p	7																															2				
hsa-miR-592	284																										1					1		8		
hsa-miR-596																																	1			
hsa-miR-597-3p	3																																			
hsa-miR-598-3p	3634	24		14	104	70	116	22		1		445	84	17	70	1	39	138		208			135	15	10	18	116	16	109	125	46	225	22	165	98	76
hsa-miR-598-5p	7																																			
hsa-miR-601																																3				
hsa-miR-605-3p	3						3																													
hsa-miR-605-5p	6																															1			1	
hsa-miR-6068							4															1														
hsa-miR-6076																																		2		
hsa-miR-6078																																	1			
hsa-miR-6124																			47												3			1		
hsa-miR-6126																																	1			
hsa-miR-6129																				1																
hsa-miR-6130	2											1																								
hsa-miR-6132	3																																			
hsa-miR-6134																		1																	1	
hsa-miR-615-3p		36	10	6	87	42	116	5		1		253	189	43	219			175	190	111	1		204	14	6	33	44	1	39	56	35	237	15	103	55	44
hsa-miR-615-5p					3																		6													1
hsa-miR-616-3p	6				2	5		4																					4		1	6		1		2
hsa-miR-616-5p	18			3	12									21									4				4		3	3	2	8		9	2	5
hsa-miR-618	21	2		5	12	1	11	12						33				1					18	1	4		7	1	21	6	5	23	4	7	37	9
hsa-miR-622				73																				9	23									41		
hsa-miR-624-5p	7																																			
hsa-miR-625-3p	636	2	12		9	7	22	5				11	27	31									46	1			26		12	23	5	16	4	10	10	14
hsa-miR-625-5p	28					6	1																				1		3							
hsa-miR-627-3p	14					3	6																				1					1	3			
hsa-miR-627-5p																																				2
hsa-miR-628-3p	700	1		5	30	2	67	2				132			41			57		203			27	4			27		27	38	17	81	4	31	33	5
hsa-miR-628-5p	1099	2			6	3	17	1						29									6				3		6	11	2	8	3	4		
hsa-miR-629-3p	1						3											25					12				2		6	5	2	6			3	1
hsa-miR-629-5p	215				13	12	33	4	8											126			51	3	1	6	19	1	31	38	11	37	3	17	11	7
hsa-miR-636																																		4		
hsa-miR-637																								5										1		
hsa-miR-638									2																											
hsa-miR-641	65					4	4	1										53					1	3		4	6		8	17	2	7	2	2	1	
hsa-miR-642a-3p	44	2				1	8					55		54							1		18				2	1	10	9	1	8	2	2	3	1
hsa-miR-642a-5p	21				5	2	5					41											8				13		14	4	1	2	1			2
hsa-miR-642b-3p	3					2								54							1							1	3			1				
hsa-miR-642b-5p	1						5					41																	1							
hsa-miR-643	7																																	2		
hsa-miR-6499-5p																													2			2			4	
hsa-miR-6500-3p	20				9		1																									1		1		
hsa-miR-6501-3p																													1							
hsa-miR-6502-5p		1																																		
hsa-miR-6503-3p																																2				
hsa-miR-6505-3p	11																																			
hsa-miR-6505-5p	18																														2					
hsa-miR-6507-3p	1																																			
hsa-miR-6507-5p	25																																			
hsa-miR-6508-3p	7																																			
hsa-miR-6508-5p	2											104												5												1
hsa-miR-6509-3p																																1				
hsa-miR-6509-5p												94											1									1				
hsa-miR-651-5p	56		14	2	8	1	25	7					17			50							14		1		19		20	11	3	37	2	14	13	11
