name	pre-microRNA	RC_adj	UR	32151021_EXO_S1332151021_EXO_S13(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-200b-3p	hsa-mir-200b	11469.5	278.0	1515.104079770603	8871.478615865246	3p	lv5p_114.0|nta#A#1_1102.0|lv5p#-1_104.0|canonical_3037.0|nta#C#3_1.0|lv3pE_2850.0|nta#C#2_15.0|nta#C#1_93.5|nta#AU_1.0|nta#G_46.0|mlv5p#1_1.0|mlv5p_1.0|nta#C_109.5|nta#G#1_46.0|lv3p_3922.0|nta#A_1189.0|nta#UA_2.0|lv3p#2_41.0|lv3p#1_2809.0|nta#T#3_4.0|NucVar_217.0|nta#T#2_87.5|nta#T#1_2547.5|mv_195.0|lv3p#-3_63.0|lv3pT_1072.0|lv3p#-2_116.0|lv3p#-1_893.0|lv5pT_114.0|nta#T_2639.0|lv5p#-3_10.0|nta#A#2_87.0|total_11469.5
hsa-let-7e-5p	hsa-let-7e	11234.25	229.0	1484.027900794533	8689.516425326661	5p	mlv3p_18.0|NucVar_228.0|canonical_5664.0|nta#G_6.5|nta#C_9.0|nta#A_1460.0|mv_44.75|lv5p_160.25|nta#C#1_9.0|lv5p#1_14.0|nta#T#3_24.0|nta#T#2_78.0|lv5pT_146.25|nta#T#1_1239.0|nta#UA_2.0|lv5p#-2_16.0|lv5p#-1_130.25|lv3p#2_61.0|nta#A#5_6.0|lv3p#1_187.0|lv5pE_14.0|nta#A#4_19.0|nta#A#3_70.0|nta#A#2_321.0|nta#A#1_1044.0|lv3pT_2054.75|total_11234.25|nta#AU_1.0|lv3pE_248.0|mlv3p#2_18.0|nta#G#2_2.5|nta#G#1_4.0|lv3p_2302.75|lv3p#-3_60.25|lv3p#-2_276.0|lv3p#-1_1718.5|nta#T_1341.0
hsa-miR-27b-3p	hsa-mir-27b	9409.0	192.0	1242.9150605136756	7277.714137205293	3p	nta#A#1_949.0|lv5p_81.0|lv5p#-1_51.0|canonical_3441.0|lv3pE_903.0|nta#C#2_1.0|nta#C#1_4.0|nta#AU_1.0|lv5pE_30.0|nta#G_66.0|nta#C_5.0|nta#G#2_1.0|nta#G#1_65.0|lv3p_3933.5|nta#A_1072.0|nta#UA_0.5|lv3p#1_903.0|nta#T#3_18.0|NucVar_114.5|nta#T#2_30.0|nta#T#1_425.0|mv_223.0|lv3pT_3030.5|lv5p#1_30.0|lv3p#-2_1337.5|lv3p#-1_1693.0|lv5pT_51.0|nta#T_473.0|nta#A#4_16.0|nta#A#3_39.0|total_9409.0|nta#A#2_68.0
hsa-miR-30e-5p	hsa-mir-30e	9287.5	233.0	1226.865089225291	7183.735790125854	5p	lv5p#-2_7.5|nta#A#1_857.5|lv5p_61.0|lv5p#-1_53.0|canonical_588.0|lv3pE_6367.5|nta#C#2_2.0|nta#C#1_16.0|nta#AU_2.0|lv5pE_0.5|nta#G_17.0|nta#C_18.0|nta#G#2_1.0|nta#G#1_16.0|lv3p_6949.5|nta#A_922.5|lv3p#2_4546.0|lv3p#1_1821.5|nta#T#2_12.0|NucVar_32.5|nta#T#1_160.5|mv_510.0|mlv3p_16.5|lv3p#-3_45.5|lv3pT_582.0|lv5p#1_0.5|lv3p#-2_73.0|lv3p#-1_463.5|lv5pT_60.5|mlv3p#2_16.5|nta#T_172.5|nta#A#2_65.0|total_9287.5
hsa-miR-200c-3p	hsa-mir-200c	9104.5	211.0	1202.691058395872	7042.188156253118	3p	lv5p#-2_14.0|nta#A#1_817.0|lv5p_143.0|lv5p#-1_99.0|canonical_4597.0|nta#C#1_14.5|nta#AU_2.0|lv5pE_5.0|nta#G_28.0|nta#G#3_1.0|nta#C_14.5|nta#G#1_27.0|lv3p_2411.0|nta#A_990.0|nta#UA_3.0|nta#T#2_11.5|NucVar_172.0|nta#T#1_674.5|mv_63.0|lv3p#-4_33.0|lv3p#-3_75.0|lv3pT_2411.0|lv5p#1_5.0|lv3p#-2_398.0|lv3p#-1_1905.0|lv5pT_138.0|nta#T_686.0|nta#A#3_25.0|lv5p#-3_25.0|total_9104.5|nta#A#2_148.0
hsa-miR-92a-3p	hsa-mir-92a-1	8823.0	268.0	1165.505322447886	6824.452315077298	3p	mlv3p_66.5|NucVar_189.0|canonical_4995.0|nta#G_6.0|nta#C_41.0|nta#A_1701.5|mv_60.0|lv5p_234.0|nta#C#1_41.0|lv5p#1_8.5|nta#T#3_1.0|nta#T#2_34.5|lv5pT_225.5|nta#T#1_698.0|nta#UA_33.5|mlv5p_25.0|lv5p#-3_14.0|lv5p#-2_83.5|lv5p#-1_128.0|lv3p#1_684.0|lv5pE_8.5|nta#A#3_44.0|nta#A#2_419.0|nta#A#1_1238.5|lv3pT_87.5|mlv5p#1_25.0|total_8823.0|lv3pE_684.0|mlv3p#3_15.0|mlv3p#2_51.5|nta#G#1_6.0|lv3p_771.5|lv3p#-3_8.0|lv3p#-2_0.5|lv3p#-1_79.0|nta#T_733.5
hsa-miR-26b-5p	hsa-mir-26b	8641.333333333334	124.0	1141.5074229906306	6683.9359936553665	5p	lv5p_12.0|nta#A#1_888.0|lv5p#-1_12.0|canonical_1218.0|lv3pE_5519.0|nta#C#1_3.0|nta#AU_1.0|nta#G_19.0|nta#C_3.0|nta#G#1_19.0|lv3p_5616.333333333333|nta#A_1047.0|nta#UA_4.0|lv3p#2_43.0|lv3p#1_5476.0|nta#T#3_4.0|NucVar_28.0|nta#T#2_17.0|nta#T#1_554.0|mlv3p_3.0|mv_120.0|lv3pT_97.33333333333333|lv3p#-2_22.0|lv3p#-1_75.33333333333333|lv5pT_12.0|mlv3p#3_2.0|mlv3p#2_1.0|nta#T_575.0|nta#A#3_3.0|total_8641.333333333334|nta#A#2_156.0
hsa-miR-30b-5p	hsa-mir-30b	8392.0	123.0	1108.5708563960852	6491.080565355172	5p	lv5p#-2_112.0|lv5p_306.0|nta#A#1_170.0|lv5p#-1_194.0|canonical_6831.0|lv3pE_65.0|nta#C#1_106.0|nta#G_20.0|nta#C_106.0|nta#G#1_20.0|lv3p_418.0|nta#A_198.0|nta#UA_2.0|lv3p#1_65.0|nta#T#2_2.0|NucVar_231.0|nta#T#1_114.0|mlv3p_26.0|mv_140.0|lv3p#-3_18.0|lv3pT_353.0|lv3p#-2_17.0|lv3p#-1_318.0|lv5pT_306.0|mlv3p#2_26.0|nta#T_116.0|total_8392.0|nta#A#2_28.0
hsa-miR-99b-5p	hsa-mir-99b	8253.0	160.0	1090.2091608480566	6383.566242358942	5p	lv5p#-2_88.0|lv5p_235.0|nta#A#1_730.0|lv5p#-1_99.0|canonical_4891.0|lv3pE_1.0|nta#C#1_10.0|nta#G_2.0|mlv5p#1_12.0|mlv5p_12.0|nta#C_10.0|nta#G#2_2.0|lv3p_1674.0|nta#A_765.0|nta#UA_2.0|lv3p#1_1.0|NucVar_230.0|nta#T#1_403.0|mv_31.0|lv3p#-3_74.0|lv3pT_1673.0|lv3p#-2_129.0|lv3p#-1_1470.0|lv5pT_235.0|nta#T_403.0|lv5p#-3_48.0|total_8253.0|nta#A#2_35.0
hsa-miR-92a-3p	hsa-mir-92a-2	7859.0	238.0	1038.1623403737885	6078.813413146604	3p	lv5p#-2_83.5|nta#A#1_1161.5|lv5p_234.0|lv5p#-1_128.0|canonical_4995.0|lv3pE_44.0|nta#C#1_25.0|lv5pE_8.5|nta#G_6.0|mlv5p#1_25.0|mlv5p_25.0|nta#C_25.0|nta#G#1_6.0|lv3p_131.5|nta#A_1624.5|nta#UA_30.5|lv3p#1_44.0|nta#T#2_5.5|NucVar_189.0|nta#T#1_546.0|mv_26.0|mlv3p_51.5|lv3p#-3_8.0|lv3pT_87.5|lv5p#1_8.5|lv3p#-2_0.5|lv3p#-1_79.0|lv5pT_225.5|mlv3p#2_51.5|nta#T_551.5|nta#A#3_44.0|lv5p#-3_14.0|total_7859.0|nta#A#2_419.0
hsa-miR-99a-5p	hsa-mir-99a	5792.5	155.0	765.1807299421263	4480.408028458036	5p	lv5p#-2_29.0|nta#A#1_1001.0|lv5p_88.0|lv5p#-1_46.0|canonical_1985.0|nta#C#1_3.0|lv5pE_13.0|nta#G_1.0|mlv5p#1_11.0|mlv5p_11.0|nta#C_3.0|nta#G#2_1.0|lv3p_2218.5|nta#A_1081.5|nta#T#2_3.0|NucVar_104.5|nta#T#1_122.0|mv_175.0|lv3p#-3_81.0|lv3pT_2218.5|lv5p#1_13.0|lv3p#-2_217.5|lv3p#-1_1920.0|lv5pT_75.0|nta#T_125.0|nta#A#2_80.5|total_5792.5
hsa-miR-23b-3p	hsa-mir-23b	5199.5	152.0	686.8463021724792	4021.7318159633246	3p	lv5p#-2_10.0|lv5p_46.0|nta#A#1_101.0|lv5p#-1_36.0|canonical_586.0|lv3pE_1.0|nta#C#3_1.5|nta#C#2_1.0|nta#C#1_33.0|nta#G_13.0|nta#C_35.5|nta#G#1_13.0|lv3p_2554.0|nta#A_108.0|nta#UA_11.0|lv3p#1_1.0|NucVar_18.0|nta#T#2_95.0|nta#T#1_1686.0|mv_58.0|lv3p#-3_107.0|lv3pT_2553.0|lv3p#-2_1222.5|lv3p#-1_1223.5|lv5pT_46.0|nta#T_1781.0|nta#A#2_7.0|total_5199.5
